auc1,auc2,gap,center2,tau_r,recovered,recovered_within_window,t_return,functional_time,x_max
0.5,1.0,20,30,9.816326530612244,True,False,60.25,-10.25,0.728749404850235
0.5,1.0,20,30,10.306122448979592,True,False,61.800000000000004,-11.800000000000004,0.7439479217096631
0.5,1.0,20,30,10.795918367346939,True,False,63.35,-13.350000000000001,0.7585623571331972
0.5,1.0,20,30,11.285714285714285,True,False,64.95,-14.950000000000003,0.7726246769808328
0.5,1.0,20,30,11.775510204081632,True,False,66.5,-16.5,0.7862017080224509
0.5,1.0,20,30,12.26530612244898,True,False,68.10000000000001,-18.10000000000001,0.7992822858592488
0.5,1.0,20,30,12.755102040816325,True,False,69.65,-19.650000000000006,0.8118938572229933
0.5,1.0,20,30,13.244897959183673,True,False,71.25,-21.25,0.8240946006400038
0.5,1.0,20,30,13.73469387755102,True,False,72.85000000000001,-22.85000000000001,0.8358626629520333
0.5,1.0,20,30,14.224489795918368,True,False,74.4,-24.400000000000006,0.8472515455146894
0.5,1.0,20,30,14.714285714285714,True,False,76.0,-26.0,0.8582587095787665
0.5,1.0,20,30,15.204081632653061,True,False,77.60000000000001,-27.60000000000001,0.8689125703673691
0.5,1.0,20,30,15.693877551020408,True,False,79.2,-29.200000000000003,0.8792255055764702
0.5,1.0,20,30,16.183673469387756,False,False,,-inf,0.8892145783276179
0.5,1.0,20,30,16.6734693877551,False,False,,-inf,0.8988911072276866
0.5,1.0,20,30,17.163265306122447,False,False,,-inf,0.9082763291519033
0.5,1.0,20,30,17.653061224489797,False,False,,-inf,0.9173678115373466
0.5,1.0,20,30,18.142857142857142,False,False,,-inf,0.9262028216555208
0.5,1.0,20,30,18.632653061224488,False,False,,-inf,0.9347588244317199
0.5,1.0,20,30,19.122448979591837,False,False,,-inf,0.9430868783966163
0.5,1.0,20,30,19.612244897959183,False,False,,-inf,0.9511630972471615
0.5,1.0,20,30,20.10204081632653,False,False,,-inf,0.9590111428747455
0.5,1.0,20,30,20.591836734693878,False,False,,-inf,0.9666472688404083
0.5,1.0,20,30,21.081632653061224,False,False,,-inf,0.9740583996163921
0.5,1.0,20,30,21.57142857142857,False,False,,-inf,0.9812813378339363
0.5,1.0,20,30,22.06122448979592,False,False,,-inf,0.9883052626091418
0.5,1.0,20,30,22.551020408163264,False,False,,-inf,0.9951302287614131
0.5,1.0,20,30,23.04081632653061,False,False,,-inf,1.0017950522259331
0.5,1.0,20,30,23.53061224489796,False,False,,-inf,1.0082776915547698
0.5,1.0,20,30,24.020408163265305,False,False,,-inf,1.0145835986803722
0.5,1.0,20,30,24.51020408163265,False,False,,-inf,1.02074769325931
0.5,1.0,20,30,25.0,False,False,,-inf,1.0267495768426738
0.5,1.0,25,35,1.0,True,True,39.5,10.5,0.18200104263187228
0.5,1.0,25,35,1.489795918367347,True,True,40.75,9.25,0.2519349637516947
0.5,1.0,25,35,1.9795918367346939,True,True,41.95,8.049999999999997,0.31059048593623423
0.5,1.0,25,35,2.4693877551020407,True,True,43.25,6.75,0.36023386674431807
0.5,1.0,25,35,2.9591836734693877,True,True,44.550000000000004,5.449999999999996,0.4027714297970185
0.5,1.0,25,35,3.4489795918367347,True,True,45.95,4.049999999999997,0.4396777156631656
0.5,1.0,25,35,3.9387755102040813,True,True,47.35,2.6499999999999986,0.47212850556073366
0.5,1.0,25,35,4.428571428571429,True,True,48.75,1.25,0.5010504341539848
0.5,1.0,25,35,4.918367346938775,True,False,50.2,-0.20000000000000284,0.5271463775255383
0.5,1.0,25,35,5.408163265306122,True,False,51.6,-1.6000000000000014,0.5509658507826227
0.5,1.0,25,35,5.8979591836734695,True,False,53.1,-3.1000000000000014,0.5729345022995396
0.5,1.0,25,35,6.387755102040816,True,False,54.550000000000004,-4.550000000000004,0.5933454074778203
0.5,1.0,25,35,6.877551020408163,True,False,56.0,-6.0,0.612500978415869
0.5,1.0,25,35,7.36734693877551,True,False,57.5,-7.5,0.6305600503701216
0.5,1.0,25,35,7.857142857142857,True,False,59.0,-9.0,0.6476783733647532
0.5,1.0,25,35,8.346938775510203,True,False,60.5,-10.5,0.6639801517071224
0.5,1.0,25,35,8.83673469387755,True,False,62.0,-12.0,0.6795616374699402
0.5,1.0,25,35,9.326530612244898,True,False,63.5,-13.5,0.6944976700733089
0.5,1.0,25,35,9.816326530612244,True,False,65.0,-15.0,0.7088476144971382
0.5,1.0,25,35,10.306122448979592,True,False,66.55,-16.549999999999997,0.7226590695694046
0.5,1.0,25,35,10.795918367346939,True,False,68.05,-18.049999999999997,0.735970780272854
0.5,1.0,25,35,11.285714285714285,True,False,69.60000000000001,-19.60000000000001,0.7488334847389155
0.5,1.0,25,35,11.775510204081632,True,False,71.15,-21.150000000000006,0.7612732565454696
0.5,1.0,25,35,12.26530612244898,True,False,72.7,-22.700000000000003,0.7732985124804932
0.5,1.0,25,35,12.755102040816325,True,False,74.25,-24.25,0.7849470567059034
0.5,1.0,25,35,13.244897959183673,True,False,75.8,-25.799999999999997,0.796245014318177
0.5,1.0,25,35,13.73469387755102,True,False,77.4,-27.400000000000006,0.807182495001758
0.5,1.0,25,35,14.224489795918368,True,False,78.95,-28.950000000000003,0.8178193847735185
0.5,1.0,25,35,14.714285714285714,False,False,,-inf,0.828127200550842
0.5,1.0,25,35,15.204081632653061,False,False,,-inf,0.8381522128589963
0.5,1.0,25,35,15.693877551020408,False,False,,-inf,0.8478820101373796
0.5,1.0,25,35,16.183673469387756,False,False,,-inf,0.8573510312391994
0.5,1.0,25,35,16.6734693877551,False,False,,-inf,0.8665464472521316
0.5,1.0,25,35,17.163265306122447,False,False,,-inf,0.8755071452929629
0.5,1.0,25,35,17.653061224489797,False,False,,-inf,0.884206290072698
0.5,1.0,25,35,18.142857142857142,False,False,,-inf,0.892699584780799
0.5,1.0,25,35,18.632653061224488,False,False,,-inf,0.9009520722184826
0.5,1.0,25,35,19.122448979591837,False,False,,-inf,0.908998540238592
0.5,1.0,25,35,19.612244897959183,False,False,,-inf,0.9168381783696469
0.5,1.0,25,35,20.10204081632653,False,False,,-inf,0.9244663432723057
0.5,1.0,25,35,20.591836734693878,False,False,,-inf,0.9319235348719167
0.5,1.0,25,35,21.081632653061224,False,False,,-inf,0.9391823807931793
0.5,1.0,25,35,21.57142857142857,False,False,,-inf,0.9462616776065224
0.5,1.0,25,35,22.06122448979592,False,False,,-inf,0.9531792885402193
0.5,1.0,25,35,22.551020408163264,False,False,,-inf,0.9599193214563038
0.5,1.0,25,35,23.04081632653061,False,False,,-inf,0.9665011265065521
0.5,1.0,25,35,23.53061224489796,False,False,,-inf,0.9729353634681964
0.5,1.0,25,35,24.020408163265305,False,False,,-inf,0.9792099339734377
0.5,1.0,25,35,24.51020408163265,False,False,,-inf,0.9853390957790787
0.5,1.0,25,35,25.0,False,False,,-inf,0.9913385985898026
0.75,1.0,8,18,1.0,True,True,22.5,27.5,0.18278955243965703
0.75,1.0,8,18,1.489795918367347,True,True,23.75,26.25,0.25598094305777364
0.75,1.0,8,18,1.9795918367346939,True,True,25.0,25.0,0.3217793270316562
0.75,1.0,8,18,2.4693877551020407,True,True,26.3,23.7,0.38239897639798376
0.75,1.0,8,18,2.9591836734693877,True,True,27.700000000000003,22.299999999999997,0.43888674790219173
0.75,1.0,8,18,3.4489795918367347,True,True,29.200000000000003,20.799999999999997,0.49168463727133
0.75,1.0,8,18,3.9387755102040813,True,True,30.700000000000003,19.299999999999997,0.5410541266578895
0.75,1.0,8,18,4.428571428571429,True,True,32.25,17.75,0.5872352182000821
0.75,1.0,8,18,4.918367346938775,True,True,33.85,16.15,0.6303763994027437
0.75,1.0,8,18,5.408163265306122,True,True,35.45,14.549999999999997,0.6707199204011449
0.75,1.0,8,18,5.8979591836734695,True,True,37.050000000000004,12.949999999999996,0.708429719186627
0.75,1.0,8,18,6.387755102040816,True,True,38.7,11.299999999999997,0.7437139324852058
0.75,1.0,8,18,6.877551020408163,True,True,40.35,9.649999999999999,0.7767889679337447
0.75,1.0,8,18,7.36734693877551,True,True,42.050000000000004,7.949999999999996,0.8078053727724288
0.75,1.0,8,18,7.857142857142857,True,True,43.7,6.299999999999997,0.8369309487316159
0.75,1.0,8,18,8.346938775510203,True,True,45.400000000000006,4.599999999999994,0.8643195007591388
0.75,1.0,8,18,8.83673469387755,True,True,47.050000000000004,2.9499999999999957,0.8901105541054963
0.75,1.0,8,18,9.326530612244898,True,True,48.75,1.25,0.9144306014952983
0.75,1.0,8,18,9.816326530612244,True,False,50.45,-0.45000000000000284,0.9373943410609433
0.75,1.0,8,18,10.306122448979592,True,False,52.150000000000006,-2.1500000000000057,0.9591207333333419
0.75,1.0,8,18,10.795918367346939,True,False,53.85,-3.8500000000000014,0.9796994095622437
0.75,1.0,8,18,11.285714285714285,True,False,55.550000000000004,-5.550000000000004,0.9992071904419914
0.75,1.0,8,18,11.775510204081632,True,False,57.25,-7.25,1.0177202345726384
0.75,1.0,8,18,12.26530612244898,True,False,59.0,-9.0,1.0353136282809927
0.75,1.0,8,18,12.755102040816325,True,False,60.7,-10.700000000000003,1.0520794516064231
0.75,1.0,8,18,13.244897959183673,True,False,62.400000000000006,-12.400000000000006,1.0680416083533304
0.75,1.0,8,18,13.73469387755102,True,False,64.10000000000001,-14.100000000000009,1.0832531007083106
0.75,1.0,8,18,14.224489795918368,True,False,65.85000000000001,-15.850000000000009,1.0978070223390708
0.75,1.0,8,18,14.714285714285714,True,False,67.55,-17.549999999999997,1.11170053086766
0.75,1.0,8,18,15.204081632653061,True,False,69.3,-19.299999999999997,1.1249945315433185
0.75,1.0,8,18,15.693877551020408,True,False,71.0,-21.0,1.1377357469470002
0.75,1.0,8,18,16.183673469387756,True,False,72.75,-22.75,1.1499291321751948
0.75,1.0,8,18,16.6734693877551,True,False,74.45,-24.450000000000003,1.1616552935729751
0.75,1.0,8,18,17.163265306122447,True,False,76.2,-26.200000000000003,1.17288900752548
0.75,1.0,8,18,17.653061224489797,True,False,77.9,-27.900000000000006,1.1837096385999244
0.75,1.0,8,18,18.142857142857142,True,False,79.65,-29.650000000000006,1.1940934836525918
0.75,1.0,8,18,18.632653061224488,False,False,,-inf,1.204110230705208
0.75,1.0,8,18,19.122448979591837,False,False,,-inf,1.2137348478873362
0.75,1.0,8,18,19.612244897959183,False,False,,-inf,1.2230374364756216
0.75,1.0,8,18,20.10204081632653,False,False,,-inf,1.2319856060766357
0.75,1.0,8,18,20.591836734693878,False,False,,-inf,1.240645378636182
0.75,1.0,8,18,21.081632653061224,False,False,,-inf,1.248992331057683
0.75,1.0,8,18,21.57142857142857,False,False,,-inf,1.257066862827164
0.75,1.0,8,18,22.06122448979592,False,False,,-inf,1.2648741266496568
0.75,1.0,8,18,22.551020408163264,False,False,,-inf,1.2724169566232415
0.75,1.0,8,18,23.04081632653061,False,False,,-inf,1.2797377877526597
0.75,1.0,8,18,23.53061224489796,False,False,,-inf,1.2868118540890998
0.75,1.0,8,18,24.020408163265305,False,False,,-inf,1.2936764624542407
0.75,1.0,8,18,24.51020408163265,False,False,,-inf,1.3003328802751466
0.75,1.0,8,18,25.0,False,False,,-inf,1.306775585548713
0.75,1.0,12,22,1.0,True,True,26.5,23.5,0.18201559628532393
0.75,1.0,12,22,1.489795918367347,True,True,27.75,22.25,0.2522059621356957
0.75,1.0,12,22,1.9795918367346939,True,True,28.950000000000003,21.049999999999997,0.31203159958821747
0.75,1.0,12,22,2.4693877551020407,True,True,30.25,19.75,0.36450829736848084
0.75,1.0,12,22,2.9591836734693877,True,True,31.6,18.4,0.4118215173849182
0.75,1.0,12,22,3.4489795918367347,True,True,33.0,17.0,0.4554024547186086
0.75,1.0,12,22,3.9387755102040813,True,True,34.45,15.549999999999997,0.49612267823184264
0.75,1.0,12,22,4.428571428571429,True,True,35.95,14.049999999999997,0.5344931086097114
0.75,1.0,12,22,4.918367346938775,True,True,37.5,12.5,0.5707943797344213
0.75,1.0,12,22,5.408163265306122,True,True,39.0,11.0,0.6052645883720112
0.75,1.0,12,22,5.8979591836734695,True,True,40.6,9.399999999999999,0.6380104610441306
0.75,1.0,12,22,6.387755102040816,True,True,42.150000000000006,7.849999999999994,0.6691553875637996
0.75,1.0,12,22,6.877551020408163,True,True,43.75,6.25,0.6987988966473385
0.75,1.0,12,22,7.36734693877551,True,True,45.400000000000006,4.599999999999994,0.7270274146168755
0.75,1.0,12,22,7.857142857142857,True,True,47.0,3.0,0.7539191199642591
0.75,1.0,12,22,8.346938775510203,True,True,48.650000000000006,1.3499999999999943,0.7795470612457064
0.75,1.0,12,22,8.83673469387755,True,False,50.300000000000004,-0.30000000000000426,0.8039800250700813
0.75,1.0,12,22,9.326530612244898,True,False,51.95,-1.9500000000000028,0.8272833050635054
0.75,1.0,12,22,9.816326530612244,True,False,53.6,-3.6000000000000014,0.849518695889382
0.75,1.0,12,22,10.306122448979592,True,False,55.25,-5.25,0.870754431999722
0.75,1.0,12,22,10.795918367346939,True,False,56.95,-6.950000000000003,0.8910660981030237
0.75,1.0,12,22,11.285714285714285,True,False,58.6,-8.600000000000001,0.9104784376183678
0.75,1.0,12,22,11.775510204081632,True,False,60.300000000000004,-10.300000000000004,0.9290428262732259
0.75,1.0,12,22,12.26530612244898,True,False,62.0,-12.0,0.9468477239325601
0.75,1.0,12,22,12.755102040816325,True,False,63.650000000000006,-13.650000000000006,0.9638920496838178
0.75,1.0,12,22,13.244897959183673,True,False,65.35000000000001,-15.350000000000009,0.9802382975337858
0.75,1.0,12,22,13.73469387755102,True,False,67.05,-17.049999999999997,0.9959329618805411
0.75,1.0,12,22,14.224489795918368,True,False,68.75,-18.75,1.0109848376823742
0.75,1.0,12,22,14.714285714285714,True,False,70.45,-20.450000000000003,1.0254752842642565
0.75,1.0,12,22,15.204081632653061,True,False,72.15,-22.150000000000006,1.0393820986020925
0.75,1.0,12,22,15.693877551020408,True,False,73.85000000000001,-23.85000000000001,1.0527892900878064
0.75,1.0,12,22,16.183673469387756,True,False,75.55,-25.549999999999997,1.0656733956553848
0.75,1.0,12,22,16.6734693877551,True,False,77.30000000000001,-27.30000000000001,1.0781099918268804
