sigma,tau_r,recovery_probability,mean_t_return,mean_functional_time,std_functional_time,mean_x_max,tau_sigma_ratio
3.0816326530612246,18.142857142857142,0.26666666666666666,55.166071428571435,-5.166071428571432,9.2989749890276,0.7412326104218272,5.887417218543046
3.0816326530612246,18.632653061224488,0.23333333333333334,56.07678571428572,-6.076785714285718,10.105081982760302,0.7465322889546616,6.046357615894039
3.0816326530612246,19.122448979591837,0.23333333333333334,58.38928571428572,-8.389285714285718,10.963097672738787,0.7516293704027048,6.2052980132450335
3.0816326530612246,19.612244897959183,0.23333333333333334,58.3962962962963,-8.396296296296299,10.343503404459376,0.7565345235411473,6.364238410596026
3.0816326530612246,20.10204081632653,0.23333333333333334,59.228846153846156,-9.228846153846158,10.640368161646695,0.7612473934096343,6.523178807947019
3.0816326530612246,20.591836734693878,0.2,59.80961538461539,-9.809615384615388,10.593545386043042,0.7657755386153691,6.682119205298013
3.0816326530612246,21.081632653061224,0.2,60.114000000000004,-10.114000000000004,9.860437786089083,0.7701386940042024,6.841059602649006
3.0816326530612246,21.57142857142857,0.2,61.08958333333334,-11.089583333333337,10.378457822593987,0.7743391114562025,6.999999999999999
3.0816326530612246,22.06122448979592,0.13333333333333333,61.845652173913045,-11.845652173913045,9.992234633175249,0.7783831010411854,7.158940397350993
3.0816326530612246,22.551020408163264,0.1,62.286956521739135,-12.286956521739134,9.789189508089853,0.7822843193725934,7.317880794701987
3.0816326530612246,23.04081632653061,0.1,62.24545454545455,-12.24545454545455,9.35727256114461,0.7860633516843881,7.476821192052979
3.0816326530612246,23.53061224489796,0.06666666666666667,63.618181818181824,-13.618181818181823,9.811649362032014,0.7897083757656536,7.635761589403973
3.0816326530612246,24.020408163265305,0.06666666666666667,64.36136363636363,-14.361363636363638,9.44139734182572,0.7932270921986431,7.7947019867549665
3.0816326530612246,24.51020408163265,0.03333333333333333,66.76190476190476,-16.761904761904766,7.916958139997723,0.7966798808898746,7.953642384105959
3.0816326530612246,25.0,0.03333333333333333,67.27380952380952,-17.273809523809526,7.949443676252118,0.8000496815968121,8.112582781456954
3.316326530612245,1.0,1.0,15.145000000000001,34.855000000000004,0.7731875358004962,0.1302204175685243,0.30153846153846153
3.316326530612245,1.489795918367347,1.0,16.716666666666665,33.28333333333333,0.7786298015206539,0.17916971104567733,0.44923076923076927
3.316326530612245,1.9795918367346939,1.0,18.040000000000003,31.959999999999997,0.8838005704206475,0.2237814975534088,0.5969230769230769
3.316326530612245,2.4693877551020407,1.0,19.116666666666667,30.883333333333333,0.9113587178733074,0.263923748567294,0.7446153846153846
3.316326530612245,2.9591836734693877,1.0,20.28666666666667,29.71333333333333,0.994114866509948,0.3007019130961858,0.8923076923076922
3.316326530612245,3.4489795918367347,1.0,21.343333333333337,28.656666666666663,1.2014885403713498,0.33399381547871904,1.04
3.316326530612245,3.9387755102040813,1.0,22.560000000000002,27.439999999999998,1.2490962250004387,0.36418541471946475,1.1876923076923076
